IDpol,ClaimNb,Exposure,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Area,Density,Region,ClaimAmount,Power_x_DrivAge,DrivAge_bucket
139.0,1,0.75,7,1,61,50,B12,Regular,F,27000,Ile-de-France,303.0,427,51-70
190.0,1,0.14,12,5,50,60,B12,Diesel,B,56,Basse-Normandie,1981.84,600,36-50
414.0,1,0.14,4,0,36,85,B12,Regular,E,4792,Ile-de-France,1456.55,144,36-50
424.0,2,0.62,10,0,51,100,B12,Regular,F,27000,Ile-de-France,989.64,510,51-70
424.0,2,0.62,10,0,51,100,B12,Regular,F,27000,Ile-de-France,9844.36,510,51-70
463.0,1,0.31,5,0,45,50,B12,Regular,A,12,Midi-Pyrenees,3986.67,225,36-50
606.0,1,0.84,10,6,54,50,B12,Diesel,D,583,Provence-Alpes-Cotes-D'Azur,1840.14,540,51-70
622.0,1,0.75,5,0,34,64,B12,Regular,D,1565,Nord-Pas-de-Calais,1397.97,170,26-35
811.0,1,0.76,5,0,44,50,B12,Regular,E,3317,Provence-Alpes-Cotes-D'Azur,971.98,220,36-50
830.0,1,0.68,4,10,24,105,B1,Regular,E,3064,Ile-de-France,1442.75,96,18-25
975.0,1,0.73,9,0,60,50,B12,Regular,D,570,Provence-Alpes-Cotes-D'Azur,637.41,540,51-70
1226.0,1,0.79,7,7,28,80,B12,Diesel,B,65,Champagne-Ardenne,3048.98,196,26-35
1301.0,1,0.05,6,0,76,50,B12,Regular,D,543,Languedoc-Roussillon,4573.47,456,
1323.0,1,0.62,8,4,67,72,B12,Regular,E,2674,Provence-Alpes-Cotes-D'Azur,384.77,536,51-70
1349.0,1,0.36,5,0,39,57,B12,Diesel,C,177,Provence-Alpes-Cotes-D'Azur,185.98,195,36-50
1534.0,1,0.62,4,0,47,50,B12,Regular,B,79,Languedoc-Roussillon,671.05,188,36-50
1552.0,2,0.59,11,0,39,56,B12,Diesel,D,778,Picardie,995.2,429,36-50
1552.0,2,0.59,11,0,39,56,B12,Diesel,D,778,Picardie,1845.74,429,36-50
1669.0,1,0.5,9,0,35,67,B12,Regular,D,1139,Ile-de-France,724.03,315,26-35
1671.0,1,0.73,6,0,74,50,B12,Regular,E,3132,Ile-de-France,3401.9,444,
1741.0,1,0.65,6,8,49,100,B1,Regular,E,9082,Ile-de-France,2975.68,294,36-50
1870.0,1,0.11,5,0,52,50,B12,Regular,C,428,Midi-Pyrenees,1692.29,260,51-70
1963.0,1,0.1,9,0,78,50,B12,Regular,E,2580,Aquitaine,422.05,702,
1967.0,1,0.75,10,8,50,51,B12,Regular,F,27000,Ile-de-France,76.22,500,36-50
2058.0,1,0.55,9,1,51,70,B12,Regular,C,480,Picardie,704.18,459,51-70
2085.0,2,0.69,9,0,50,50,B12,Regular,C,353,Aquitaine,1469.88,450,36-50
2085.0,2,0.69,9,0,50,50,B12,Regular,C,353,Aquitaine,382.4,450,36-50
2199.0,1,0.12,5,0,49,50,B12,Diesel,A,23,Pays-de-la-Loire,564.35,245,36-50
2222.0,1,0.73,5,0,22,100,B12,Regular,E,4408,Ile-de-France,3365.37,110,18-25
2284.0,1,0.6,6,0,35,72,B12,Regular,C,495,Languedoc-Roussillon,1761.37,210,26-35
2311.0,1,0.72,5,0,47,50,B12,Regular,E,5936,Ile-de-France,553.09,235,36-50
2375.0,1,0.72,5,1,52,50,B12,Regular,E,3430,Provence-Alpes-Cotes-D'Azur,631.36,260,51-70
2540.0,1,0.15,7,2,71,60,B12,Regular,E,2201,Ile-de-France,6467.65,497,
2606.0,1,0.01,7,0,45,60,B12,Diesel,E,6570,Ile-de-France,1322.75,315,36-50
2689.0,1,0.7,7,5,32,100,B12,Regular,F,15725,Ile-de-France,885.28,224,26-35
2776.0,2,0.57,12,9,53,100,B12,Regular,E,3110,Ile-de-France,679.09,636,51-70
2776.0,2,0.57,12,9,53,100,B12,Regular,E,3110,Ile-de-France,8561.02,636,51-70
2869.0,1,0.57,4,0,48,50,B12,Regular,D,726,Languedoc-Roussillon,1878.72,192,36-50
3131.0,1,0.74,10,0,61,72,B12,Regular,E,5433,Provence-Alpes-Cotes-D'Azur,1219.51,610,51-70
3227.0,1,0.96,6,7,47,50,B4,Regular,E,2498,Aquitaine,984.07,282,36-50
3280.0,1,0.75,9,0,54,50,B12,Regular,A,34,Bourgogne,3647.26,486,51-70
3351.0,1,0.47,4,0,51,50,B12,Regular,E,2580,Aquitaine,1183.63,204,51-70
3362.0,1,0.85,4,0,26,80,B12,Regular,D,610,Languedoc-Roussillon,4166.79,104,26-35
3407.0,1,0.93,9,0,68,50,B12,Regular,F,17140,Ile-de-France,1096.52,612,51-70
3468.0,2,0.81,10,0,53,50,B12,Diesel,C,112,Provence-Alpes-Cotes-D'Azur,235.64,530,51-70
3468.0,2,0.81,10,0,53,50,B12,Diesel,C,112,Provence-Alpes-Cotes-D'Azur,556.14,530,51-70
3801.0,1,0.86,10,4,53,50,B12,Regular,D,1693,Rhone-Alpes,5451.29,530,51-70
3895.0,1,0.39,7,8,29,60,B1,Regular,C,325,Nord-Pas-de-Calais,6239.07,203,26-35
3897.0,1,0.69,4,0,43,50,B12,Regular,E,3317,Provence-Alpes-Cotes-D'Azur,12555.36,172,36-50
3940.0,1,0.48,10,0,48,50,B12,Diesel,E,9307,Rhone-Alpes,1551.38,480,36-50
4094.0,1,0.26,12,3,28,76,B12,Diesel,B,59,Ile-de-France,1309.81,336,26-35
4178.0,1,0.75,5,0,36,50,B12,Regular,A,17,Corse,326.57,180,36-50
4214.0,1,0.55,8,8,51,100,B12,Regular,F,27000,Ile-de-France,409.13,408,51-70
4232.0,2,0.66,7,0,51,50,B12,Regular,F,27000,Ile-de-France,532.4,357,51-70
4232.0,2,0.66,7,0,51,50,B12,Regular,F,27000,Ile-de-France,941.39,357,51-70
4263.0,1,0.65,10,7,27,76,B12,Diesel,C,162,Pays-de-la-Loire,549.21,270,26-35
4376.0,1,0.24,5,6,28,68,B3,Diesel,E,3317,Provence-Alpes-Cotes-D'Azur,433.89,140,26-35
4663.0,1,0.49,11,0,39,76,B12,Diesel,F,27000,Ile-de-France,1746.38,429,36-50
4718.0,1,0.51,6,0,35,64,B12,Regular,D,949,Centre,575.19,210,26-35
5038.0,1,0.59,7,5,30,85,B12,Diesel,E,3744,Provence-Alpes-Cotes-D'Azur,1440.4,210,26-35
5062.0,1,0.54,5,0,25,80,B3,Diesel,F,10961,Ile-de-France,1405.75,125,18-25
5170.0,1,0.52,4,10,27,100,B2,Regular,C,376,Provence-Alpes-Cotes-D'Azur,787.66,108,26-35
5181.0,1,0.57,5,2,26,100,B12,Diesel,D,1412,Auvergne,191.15,130,26-35
5244.0,1,0.01,12,4,69,50,B12,Diesel,A,7,Provence-Alpes-Cotes-D'Azur,5340.29,828,51-70
5246.0,1,0.57,11,0,37,50,B12,Regular,E,3430,Provence-Alpes-Cotes-D'Azur,378.33,407,36-50
5319.0,2,0.42,11,0,45,50,B12,Diesel,D,1248,Ile-de-France,553.64,495,36-50
5319.0,2,0.42,11,0,45,50,B12,Diesel,D,1248,Ile-de-France,31632.81,495,36-50
5477.0,1,0.45,7,0,49,50,B12,Diesel,C,113,Languedoc-Roussillon,830.36,343,36-50
